symbol,company_name,float,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
ATEX,Anterix,12763671,18.35,242759,1.94444444444445,4454627.65,0.595000000000002,2025-11-12T00:00:00-05:00,,219618.4,0.635000000000001,False,
NRC,National Research Corporation Common Stock (Delaware),12969561,15.43,118779,3.34896182183523,1832759.97,0.469899999999999,2025-11-12T00:00:00-05:00,,105394.2,0.68898,False,
UNCY,Unicycive Therapeutics,13007664,5.14,1157590,7.30688935281837,5950012.6,0.74,2025-11-12T00:00:00-05:00,,483949.4,0.376,False,
INSG,Inseego,13025748,12.45,239067,-3.63777089783282,2976384.15,0.9,2025-11-12T00:00:00-05:00,,280727.4,1.106,False,
NEON,Neonode,13052582,2.27,319125,-0.873362445414848,724413.75,0.105,2025-11-12T00:00:00-05:00,,418864.4,0.209,False,
TTSH,Tile Shop Holdings,13177064,6.36,170406,0.95238095238096,1083782.16,0.1065,2025-11-12T00:00:00-05:00,,175178.8,0.1143,False,
VERU,Veru,13217291,2.73,158008,4.19847328244274,431361.84,0.19,2025-11-12T00:00:00-05:00,,116845.2,0.1606,False,
LCNB,LCNB,13333035,15.49,24788,0,383966.12,0.1599,2025-11-12T00:00:00-05:00,,15762.2,0.23348,False,
DTI,Drilling Tools International,13380119,2.27,52315,-7.34693877551021,118755.05,0.26,2025-11-12T00:00:00-05:00,,59228.4,0.25108,False,
GASS,StealthGas,13487448,6.79,59428,-0.366837857666916,403516.12,0.0999999999999996,2025-11-12T00:00:00-05:00,,58745.4,0.112,False,
RDNW,RideNow Group,13548224,5.33,210974,4.50980392156864,1124491.42,0.685000000000001,2025-11-12T00:00:00-05:00,,100068.4,0.48426,False,
UBFO,United Security Bancshares,13590177,9.77,19290,-0.204290091930537,188463.3,0.310000000000001,2025-11-12T00:00:00-05:00,,19372.6,0.20336,False,
NRXP,NRX Pharmaceuticals,13611085,2.64,569334,6.02409638554216,1503041.76,0.285,2025-11-12T00:00:00-05:00,,403138.4,0.185,False,
